Party_Name,Chair,Founded,Telephone,Address,Member_Count
Türkiye Uyanış Partisi,Ahmet İMREK,05/10/2023,,Kızılay Mh. Menekşe 2 Sk. Menekşe Apt. No: 20/2 Kızılay Çankaya/ANKARA,27
Genç Parti,Burçin ŞAHİNDUR,26/11/1992,425 36 23,Atatürk Cad. No: 219 Kat:5 Daire:14 Çankaya/ANKARA,26.037
Türkiye Yüzyılı Partisi,Murat ŞAHİN,30.09.2024,,MİTHATPAŞA CD. NO: 49 / 9 ÇANKAYA/ANKARA,0
Genç Türkiye Partisi,Ali ALEMDAROĞLU,08.11.2023,,Menekşe 1 Sk. Menekşe İş Hanı No: 6/11 Kızılay Çankaya/ANKARA,0
Türkiye'm Partisi,Önder GENÇ,29.11.2023,,KORKUT REİS MAH. ATATÜRK BLV. BEYAZ SARAY APT. NO: 44 / 3 SIHHIYE/ANKARA,63
Güç Birliği Partisi,Ali KARNAP,24.02.2020,,ÖVEÇLER MAH. 1335. CAD. 4/2 KAAN APT. ÇANKAYA/ANKARA,3.586
Türkiye'nin Sesi Altınçağ Partisi,Atıf ÖZBEY,31.03.2022,,Cumhuriyet Mah. Bayındır Sokak No: 15/13 KIZILAY/ANKARA,1.527
Güçlü Anadolu Partisi,Nihal DUYSAK,19.08.2024,,Işınlar Mh. Tufan Sk. No: 37/A Y.mahalle/ANKARA,0
Ulusal Parti,Gökçe FIRAT ÇULHAOĞLU,15.03.2010,438 02 69,BAĞCILAR MAHALLESİ ŞEMSETTİN GÜNALTAY CADDESİ 277. SOKAK NO:1 DAİRE: 10 ÇANKAYA/ANKARA,32
Güçlü Türkiye Partisi,Muharrem GÖZKAYA,13.03.2024,,KÜLTÜR MAH. YÜKSEL CD. NO: 30 / 6 ÇANKAYA/ANKARA,569
Umuda Yürüyüş Partisi,Adnan İLDEMİR,27/09/2023,,Büyükesat Mah. Koza 1. Cad. Sev Apartmanı 153/A GOP ÇANKAYA/ANKARA,2.866
Güven Adalet ve Aydınlık Partisi,Zeynep GÖKSU,03.10.2017,491 85 43,Turan Güneş Bulvarı İlkbahar Mh. 590. Sk. Özşen Apartmanı No:5/1 Çankaya/ANKARA,29
Ulusun Partisi,Tuba KOYLAN,13.03.2023,,Kavaklıdere Mah. Güfte Sok. No:12 D.12 ÇANKAYA/ANKARA,0
Güzel Parti,Hüseyin AKBULUT,10.08.2020,,Zübeyde Hanım Mah. Turgut Özal 1. Bulvarı Caddesi No: 78 Daire:15 Altın Han Apt. Altındağ/ANKARA,1.131
Ülkem Partisi,Neşet DOĞAN,09.05.2019,,GMK Bulvarı No:29/14 Çankaya/ANKARA,2.128
